S.No.,Symbol,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
1,ADANIENT,69.12,263739.57,0.06,228.64,-96.89,22848.42,-8.79,9.87
2,ADANIPORTS,23.12,244200.43,0.53,2518.39,15.10,7963.55,15.08,12.93
3,APOLLOHOSP,74.19,97194.79,0.24,379.40,51.77,5526.90,13.94,15.11
4,ASIANPAINT,52.71,229886.78,1.39,1128.44,-23.29,8549.44,-6.08,37.50
5,AXISBANK,11.84,333531.65,0.09,6778.91,3.86,32162.20,11.42,7.06
6,BAJAJ-AUTO,27.78,209322.86,1.07,2195.65,8.02,13168.88,8.25,33.53
7,BAJFINANCE,34.22,546929.90,0.41,4308.19,16.70,18035.11,27.33,11.92
8,BAJAJFINSV,35.45,303958.76,0.05,4411.89,3.40,32041.81,10.34,11.72
9,BEL,41.06,204942.87,0.78,1311.60,52.51,5770.69,38.65,34.61
10,BHARTIARTL,51.51,1029896.50,0.47,16134.60,230.71,45129.30,19.08,13.13
11,CIPLA,23.24,115720.26,0.91,1574.59,31.37,7072.97,7.10,22.80
12,COALINDIA,6.87,235940.05,6.66,8491.22,-17.19,35779.78,-1.03,63.59
13,DRREDDY,17.23,92389.79,0.72,1404.20,1.69,8381.20,15.81,26.53
14,EICHERMOT,32.29,143434.74,0.97,1170.50,17.52,4973.12,19.01,31.14
15,GRASIM,43.32,176265.06,0.39,1844.29,-40.64,34792.85,8.85,9.30
16,HCLTECH,22.29,380489.91,3.85,4594.00,5.54,29890.00,5.08,29.60
17,HDFCBANK,19.45,1353446.29,1.10,18340.11,2.31,85040.17,9.01,7.67
18,HDFCLIFE,84.46,147552.54,0.29,421.31,14.63,17300.27,-35.75,6.61
19,HEROMOTOCO,17.26,71431.17,3.22,1108.38,1.51,10259.89,4.82,29.09
20,HINDUNILVR,51.94,537700.90,1.83,2989.00,2.93,15818.00,1.61,27.24
21,HINDALCO,8.81,127584.86,0.62,3735.00,61.37,58390.00,10.57,11.29
22,ICICIBANK,18.82,925707.50,0.77,13846.89,16.56,47037.12,15.10,7.60
23,INDUSINDBK,7.32,52924.94,2.43,1401.28,-39.02,12800.77,10.62,7.93
24,INFY,21.45,592972.52,2.66,6822.00,11.46,41764.00,7.58,39.99
25,ITC,25.98,516270.01,3.33,5013.18,-8.40,18790.17,9.28,37.47
26,JIOFIN,88.88,142841.56,0.00,294.78,0.33,438.35,5.98,1.55
27,JSWSTEEL,66.78,233643.95,0.76,719.00,-67.71,41378.00,-1.34,13.30
28,KOTAKBANK,20.77,408339.14,0.10,4701.02,10.23,16633.14,14.75,7.86
29,LT,31.31,434379.33,0.89,3973.98,13.96,64667.78,17.31,13.44
30,M&M,25.34,313867.25,0.84,3624.48,19.64,41470.05,17.48,13.58
31,MARUTI,24.78,360350.28,1.09,3726.90,16.22,38764.30,15.67,21.82
32,NESTLEIND,69.97,219511.21,0.75,696.13,-5.28,4779.73,3.90,169.08
33,NTPC,15.56,342048.26,2.20,5169.69,-1.80,45052.82,5.21,10.47
34,ONGC,7.20,285066.81,5.40,9783.64,-17.97,166096.68,-0.75,18.43
35,POWERGRID,17.29,268787.38,3.89,3861.63,-4.14,11233.03,-2.74,13.21
36,RELIANCE,23.11,1599110.78,0.42,21930.00,7.38,239986.00,6.62,9.61
37,SBILIFE,61.83,149046.28,0.18,550.82,71.20,18861.98,-51.68,13.23
38,SHRIRAMFIN,14.83,120333.05,1.40,3248.64,18.22,10698.31,19.90,11.27
39,SBIN,8.65,686084.08,1.78,19483.78,17.27,124653.66,10.44,6.16
40,SUNPHARMA,34.31,404606.10,0.80,2912.98,22.66,13675.46,10.46,17.32
41,TATACONSUM,80.65,105801.10,0.72,281.92,-16.22,4443.56,16.82,10.65
42,TATAMOTORS,6.81,216738.83,0.51,5578.00,-22.95,113575.00,2.71,20.11
43,TATASTEEL,57.39,162484.80,2.76,295.49,-40.52,53648.30,-3.01,7.02
44,TCS,24.41,1190490.91,1.67,12444.00,5.16,63973.00,5.60,64.28
45,TECHM,34.33,128584.09,3.04,988.80,92.63,13285.60,1.41,11.88
46,TITAN,85.59,277060.54,0.35,1047.00,-0.57,17740.00,25.25,22.70
47,TRENT,114.08,169482.28,0.07,496.54,33.97,4656.56,34.33,23.79
48,ULTRACEMCO,52.97,332083.55,0.62,1473.51,-17.20,17193.33,2.71,15.12
49,WIPRO,20.88,258976.87,2.43,3366.70,24.48,22318.80,0.51,16.93
50,ZOMATO,313.04,207547.09,0.00,59.00,-57.25,5405.00,64.39,1.14
